Date;Close
02/01/2024;185,639,999
03/01/2024;184,250,000
04/01/2024;181,910,004
05/01/2024;181,179,993
06/01/2024;
07/01/2024;
08/01/2024;185,559,998
09/01/2024;185,139,999
10/01/2024;186,190,002
11/01/2024;185,589,996
12/01/2024;185,919,998
13/01/2024;
14/01/2024;
15/01/2024;
16/01/2024;183,630,005
17/01/2024;182,679,993
18/01/2024;188,630,005
19/01/2024;191,559,998
20/01/2024;
21/01/2024;
22/01/2024;193,889,999
23/01/2024;195,179,993
24/01/2024;194,500,000
25/01/2024;194,169,998
26/01/2024;192,419,998
27/01/2024;
28/01/2024;
29/01/2024;191,729,996
30/01/2024;188,039,993
31/01/2024;184,399,994
01/02/2024;186,860,001
02/02/2024;185,850,006
03/02/2024;
04/02/2024;
05/02/2024;187,679,993
06/02/2024;189,300,003
07/02/2024;189,410,004
08/02/2024;188,320,007
09/02/2024;188,850,006
10/02/2024;
11/02/2024;
12/02/2024;187,149,994
13/02/2024;185,039,993
14/02/2024;184,149,994
15/02/2024;183,860,001
16/02/2024;182,309,998
17/02/2024;
18/02/2024;
19/02/2024;
20/02/2024;181,559,998
21/02/2024;182,320,007
22/02/2024;184,369,995
23/02/2024;182,520,004
24/02/2024;
25/02/2024;
26/02/2024;181,160,004
27/02/2024;182,630,005
28/02/2024;181,419,998
29/02/2024;180,750,000
01/03/2024;179,660,004
02/03/2024;
03/03/2024;
04/03/2024;175,100,006
05/03/2024;170,119,995
06/03/2024;169,119,995
07/03/2024;169,000,000
08/03/2024;170,729,996
09/03/2024;
10/03/2024;
11/03/2024;172,750,000
12/03/2024;173,229,996
13/03/2024;171,130,005
14/03/2024;173,000,000
15/03/2024;172,619,995
16/03/2024;
17/03/2024;
18/03/2024;173,720,001
19/03/2024;176,080,002
20/03/2024;178,669,998
21/03/2024;171,369,995
22/03/2024;172,279,999
23/03/2024;
24/03/2024;
25/03/2024;170,850,006
26/03/2024;169,710,007
27/03/2024;173,309,998
28/03/2024;171,479,996
29/03/2024;
30/03/2024;
31/03/2024;
01/04/2024;170,029,999
02/04/2024;168,839,996
03/04/2024;169,649,994
04/04/2024;168,820,007
05/04/2024;169,580,002
06/04/2024;
07/04/2024;
08/04/2024;168,449,997
09/04/2024;169,669,998
10/04/2024;167,779,999
11/04/2024;175,039,993
12/04/2024;176,550,003
13/04/2024;
14/04/2024;
15/04/2024;172,690,002
16/04/2024;169,380,005
17/04/2024;168,000,000
18/04/2024;167,039,993
19/04/2024;165,000,000
20/04/2024;
21/04/2024;
22/04/2024;165,839,996
23/04/2024;166,899,994
24/04/2024;169,020,004
25/04/2024;169,889,999
26/04/2024;169,300,003
27/04/2024;
28/04/2024;
29/04/2024;173,500,000
30/04/2024;170,330,002
